,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
34578,INN34579,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,9,17,Complementary,0,0,0,0.0,0,Not_Canceled
14267,INN14268,1,0,1,0,Not Selected,0,Room_Type 5,3,2018,9,26,Online,0,0,0,195.0,0,Not_Canceled
809,INN00810,1,0,1,1,Meal Plan 1,0,Room_Type 1,0,2018,1,2,Online,0,0,0,86.0,0,Not_Canceled
32372,INN32373,2,0,1,2,Meal Plan 1,0,Room_Type 1,5,2017,10,19,Offline,0,0,0,90.0,0,Not_Canceled
12804,INN12805,2,0,2,5,Meal Plan 1,0,Room_Type 1,247,2018,9,26,Online,0,0,0,100.3,1,Canceled
4342,INN04343,2,0,1,2,Meal Plan 1,0,Room_Type 1,32,2017,10,19,Online,0,0,0,96.3,1,Not_Canceled
11701,INN11702,2,0,2,3,Meal Plan 1,0,Room_Type 1,108,2018,4,15,Online,0,0,0,85.85,0,Canceled
17411,INN17412,2,0,0,3,Meal Plan 1,0,Room_Type 1,12,2017,8,5,Corporate,0,0,0,65.0,0,Not_Canceled
26651,INN26652,2,0,1,2,Meal Plan 1,0,Room_Type 1,338,2018,10,7,Offline,0,0,0,90.67,1,Not_Canceled
7404,INN07405,2,0,1,3,Meal Plan 1,0,Room_Type 1,75,2018,3,17,Online,0,0,0,80.0,0,Canceled
10833,INN10834,3,0,1,2,Meal Plan 1,0,Room_Type 1,186,2018,4,22,Offline,0,0,0,115.0,0,Canceled
10879,INN10880,1,0,1,3,Meal Plan 1,0,Room_Type 4,68,2017,11,30,Offline,0,0,0,60.0,1,Not_Canceled
20278,INN20279,2,0,1,1,Meal Plan 1,1,Room_Type 1,73,2018,6,11,Online,0,0,0,135.9,0,Not_Canceled
7013,INN07014,2,0,2,1,Meal Plan 1,0,Room_Type 1,59,2017,12,27,Offline,0,0,0,112.0,0,Not_Canceled
31054,INN31055,2,2,1,2,Meal Plan 1,0,Room_Type 6,50,2018,6,3,Online,0,0,0,189.9,2,Not_Canceled
31711,INN31712,2,0,0,1,Meal Plan 1,0,Room_Type 1,41,2018,4,21,Online,0,0,0,81.08,0,Canceled
29257,INN29258,2,0,0,2,Meal Plan 2,0,Room_Type 1,63,2017,9,4,Offline,0,0,0,116.0,0,Not_Canceled
4251,INN04252,2,1,1,3,Not Selected,0,Room_Type 1,190,2018,8,25,Online,0,0,0,67.09,0,Canceled
14018,INN14019,2,0,2,5,Meal Plan 1,0,Room_Type 1,31,2018,11,14,Online,0,0,0,64.67,1,Not_Canceled
26400,INN26401,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105.0,0,Not_Canceled
33375,INN33376,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,9,9,Online,0,0,0,107.42,0,Not_Canceled
14728,INN14729,2,0,2,0,Meal Plan 1,0,Room_Type 1,146,2018,4,24,Offline,0,0,0,95.0,0,Canceled
32432,INN32433,2,0,1,2,Not Selected,0,Room_Type 1,31,2018,12,2,Online,0,0,0,88.0,1,Not_Canceled
20405,INN20406,2,0,1,1,Meal Plan 1,0,Room_Type 1,174,2017,10,10,Offline,0,0,0,70.0,0,Canceled
